1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,6881366.0,80,"['dance pop', 'pop', 'pop rap']",us (3)
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,29446452.0,87,"['latin hip hop', 'reggaeton', 'trap latino']",us (3)
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,5066308.0,76,['memphis hip hop'],us (15)
2zJ8chFLjiBHRNchfevMRI,SNBRN,100622.0,52,"['bass house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",us (1)
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,3381275.0,65,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'uk pop']",us (2)
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,1393034.0,66,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",us (1)
3ScY9CQxNLQei8Umvpx5g6,Fat Joe,1408217.0,67,"['bronx hip hop', 'dance pop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",us (2)
0PFtn5NtBbbUNbU9EAmIWF,TOTO,2377859.0,72,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",us (1)
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,2588433.0,71,"['classic rock', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",us (1)
6g8AmloI8egfrr3dm3SnUL,TWENTY88,472154.0,49,"['pop r&b', 'r&b']",us (1)
7dWYWUbO68rXJOcyA7SpJk,Fort Minor,555574.0,61,"['pop rap', 'rap rock']",us (1)
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,10899955.0,76,"['latin pop', 'mexican pop']",us (5)
6QrQ7OrISRYIfS5mtacaw2,Jaymes Young,818554.0,71,"['modern rock', 'pop', 'uk pop']",us (1)
1KP6TWI40m7p3QBTU6u2xo,BØRNS,1093578.0,67,"['modern rock', 'pop']",us (1)
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,8312684.0,64,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",us (7)
7lDVEkjIURPMyUYwoQRrpw,Ryan Hurd,201785.0,61,"['contemporary country', 'country', 'country pop', 'country road']",us (1)
0WK3H9OErSn5zKOkOV5egm,DDG,793852.0,64,"['pop rap', 'rap', 'trap', 'viral rap']",us (1)
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,5326006.0,74,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",us (13)
1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,464953.0,66,"['electropop', 'pop', 'pop rap']",us (2)
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,318482.0,56,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']",us (4)
04gDigrS5kc9YWfZHwBETP,Maroon 5,37808723.0,85,['pop'],us (21)
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,5630195.0,80,"['dance pop', 'pop']",us (5)
10exVja0key0uqUkk6LJRT,Vance Joy,2665962.0,75,"['folk-pop', 'pop']",us (2)
188VINPQh5dyNfLUkevKqf,Olivia Holt,1043423.0,51,"['alt z', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",us (1)
0GM7qgcRCORpGnfcN2tCiB,Tainy,1021679.0,79,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']",us (2)
28j8lBWDdDSHSSt5oPlsX2,ZHU,784029.0,65,"['edm', 'electro house']",us (1)
31TPClRtHm23RisEBtV3X7,Justin Timberlake,12170249.0,80,"['dance pop', 'pop']",us (15)
5xLSa7l4IV1gsQfhAMvl0U,B.B. King,2449906.0,62,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",us (6)
3Yl4nkmEa8BSuGWbwhdLDq,G.R.L.,351215.0,56,"['dance pop', 'girl group', 'post-teen pop']",us (1)
3Y2MLcrD3ZQXRXmtn4fZQx,SpotemGottem,364030.0,58,"['florida rap', 'viral rap']",us (1)
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,3141656.0,78,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",us (11)
293zczrfYafIItmnmM3coR,Chuck Berry,1655601.0,64,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly']",us (1)
